地 区	发病数	死亡数	发病率	死亡率	time
广东省	832	0	0.8942		2007-11
广东省	15	0	0.0156		2010-11
陕西省	29	1	0.0769	0.0027	2010-11
江苏省	19	0	0.0247		2009-12
江苏省	11	0	0.0138		2015-11
青海省	46	0	0.7961		2014-07
重庆市	11	0	0.0387		2009-08
天津市	161	0	1.5436		2006-03
云南省	212	0	0.4869		2004-02
上海市	177	0	0.7329		2014-04
江苏省	261	0	0.3457		2007-07
山东省	27	0	0.0294		2004-01
云南省	63	0	0.1336		2015-05
河北省	1192	1	1.7399	0.0015	2006-06
辽宁省	552	0	1.3077		2006-02
安徽省	25	0	0.0408		2006-11
北京市	8	0	0.0387		2013-11
全国	7936	8	0.6105	0.0006	2005-07
内蒙古	6	0	0.0242		2012-05
江西省	219	0	0.512		2005-01
福建省	1	0	0.0028		2010-02
浙江省	473	0	0.8636		2013-04
江苏省	2	0	0.0025		2012-01
西藏	2	0	0.069		2010-04
新疆	204	0	0.8875		2016-06
北京市	11	0	0.0532		2013-10
内蒙古	112	0	0.4672		2007-11
重庆市	9	0	0.0306		2013-12
湖北省	53	0	0.0914		2014-09
浙江省	8	0	0.0146		2013-11
重庆市	8	0	0.0274		2012-09
福建省	57	0	0.1592		2008-01
黑龙江省	242	0	0.6352		2005-05
辽宁省	13	0	0.0296		2013-10
建设兵团	38	0	1.4702		2008-06
广东省	213	0	0.2254		2008-11
新疆	260	2	1.1483	0.0088	2014-03
广东省	18	1	0.0173	0.001	2011-07
全国	561	1	0.0418	0.0001	2011-01
全国	6496	2	0.4768	0.0001	2015-03
建设兵团	8	0	0.2927		2016-09
内蒙古	4	0	0.0161		2013-12
甘肃省	16	0	0.0609		2009-08
广西	3	0	0.0062		2010-08
广西	125	1	0.267	0.0021	2013-07
海南省	43	0	0.524		2005-04
江苏省	1262	0	1.692		2005-03
湖北省	31	0	0.0535		2014-01
湖南省	249	2	0.3751	0.003	2013-06
宁夏	1	0	0.0164		2008-01
四川省	2792	0	3.4178		2007-05
辽宁省	2	0	0.0046		2010-12
陕西省	183	0	0.4919		2006-03
湖南省	178	0	0.2828		2005-08
天津市	86	0	0.567		2015-03
黑龙江省	64	0	0.1674		2008-07
北京市	2	0	0.0099		2012-02
黑龙江省	281	0	0.7356		2006-03
新疆	13	0	0.0582		2013-11
吉林省	7	0	0.0256		2010-02
福建省	11	0	0.0307		2008-11
内蒙古	429	0	1.798		2006-06
陕西省	24	0	0.0636		2010-03
全国	3655	4	0.2683	0.0003	2015-01
内蒙古	229	0	0.9197		2013-05
吉林省	37	0	0.1355		2008-02
上海市	76	0	0.3956		2010-05
福建省	23	0	0.0646		2007-12
建设兵团	3	0	0.1163		2007-01
贵州省	1	0	0.0029		2014-10
福建省	54	0	0.1441		2013-09
重庆市	255	0	0.9055		2008-12
贵州省	169	0	0.4421		2004-12
浙江省	103	0	0.1881		2013-07
黑龙江省	1	0	0.0026		2012-06
吉林省	13	0	0.0477		2007-01
江苏省	4	0	0.0051		2013-08
北京市	18	0	0.1215		2004-03
西藏	124	0	4.5238		2005-11
云南省	3	0	0.0066		2009-10
四川省	59	0	0.0721		2009-07
山东省	101	0	0.1043		2013-02
四川省	51	0	0.0623		2010-04
江西省	24	0	0.0541		2010-06
西藏	2	0	0.0697		2009-10
西藏	5	0	0.1648		2012-02
陕西省	47	0	0.1254		2008-06
贵州省	4	0	0.0114		2016-07
湖南省	30	0	0.0457		2011-05
内蒙古	159	0	0.6386		2013-06
宁夏	1	0	0.0153		2014-09
北京市	6	0	0.0279		2015-12
宁夏	3	0	0.0497		2007-02
云南省	10	0	0.0218		2011-09
四川省	6	0	0.0074		2013-06
山东省	541	0	0.585		2006-01
四川省	39	0	0.0477		2009-02
四川省	425	2	0.5203	0.0024	2007-11
安徽省	12	0	0.0197		2015-12
黑龙江省	4	0	0.0105		2007-09
辽宁省	26	0	0.0592		2016-05
新疆	82	0	0.4408		2004-08
上海市	2	0	0.0106		2009-12
上海市	9	0	0.0371		2016-05
宁夏	4	0	0.0656		2008-08
福建省	83	0	0.2181		2015-07
西藏	8	0	0.2519		2016-09
山西省	94	0	0.2577		2015-03
甘肃省	96	0	0.3668		2008-10
江苏省	1264	0	1.6577		2008-05
甘肃省	1	0	0.0039		2013-01
浙江省	160	0	0.291		2014-05
甘肃省	2	0	0.0078		2011-12
山东省	155	1	0.1655	0.0011	2008-11
内蒙古	116	0	0.4839		2007-07
安徽省	81	0	0.1343		2014-06
山西省	39	0	0.1143		2009-02
建设兵团	9	0	0.3502		2006-09
贵州省	16	0	0.0421		2010-01
北京市	27	0	0.1708		2007-09
四川省	24	0	0.0295		2015-10
河北省	6	0	0.0082		2013-01
全国	3930	6	0.2974	0.0005	2008-12
贵州省	18	0	0.0514		2014-01
重庆市	56	0	0.2007		2005-08
广东省	236	0	0.2247		2012-10
四川省	588	0	0.6748		2004-03
安徽省	183	0	0.2995		2007-07
黑龙江省	2	0	0.0052		2012-04
西藏	1	0	0.033		2012-07
湖南省	16	0	0.025		2010-08
湖北省	281	1	0.4921	0.0018	2006-04
湖南省	1	0	0.0015		2011-01
广西	33	0	0.0685		2009-03
陕西省	116	2	0.3131	0.0054	2005-07
安徽省	64	0	0.1044		2010-05
陕西省	604	0	1.6302		2005-03
建设兵团	5	0	0.1943		2010-03
宁夏	12	0	0.1919		2010-04
全国	16333	9	1.2425	0.0007	2007-04
北京市	68	0	0.3286		2013-06
重庆市	223	0	0.7508		2014-12
广西	20	0	0.0429		2006-12
青海省	2	0	0.0355		2011-02
安徽省	5	0	0.0084		2012-11
广东省	23	0	0.0221		2011-12
云南省	14	0	0.03		2013-10
广东省	1009	0	0.9524		2013-07
湖南省	32	0	0.05		2010-09
吉林省	7	0	0.0254		2016-02
山西省	2	0	0.0056		2011-12
陕西省	1	0	0.0027		2011-12
辽宁省	31	0	0.0706		2013-07
江西省	14	0	0.0318		2009-10
安徽省	142	0	0.2324		2007-01
海南省	28	0	0.3099		2016-06
新疆	502	0	2.3962		2008-06
青海省	5	0	0.0897		2010-11
江西省	7	0	0.0158		2010-03
浙江省	263	0	0.5281		2007-10
北京市	131	0	0.6331		2013-05
湖南省	14	0	0.0208		2016-02
青海省	22	0	0.4077		2004-08
辽宁省	1	0	0.0024		2004-01
新疆	318	0	1.7093		2004-01
浙江省	131	0	0.2631		2007-01
广东省	306	0	0.2853		2015-04
云南省	327	0	0.7244		2008-04
贵州省	8	0	0.023		2013-04
河南省	133	0	0.1416		2007-09
四川省	245	0	0.2999		2007-10
辽宁省	30	0	0.0683		2016-04
广西	102	0	0.2189		2006-05
新疆	7	0	0.0317		2012-12
浙江省	682	0	1.4511		2004-11
建设兵团	7	0	0.2724		2006-12
湖北省	70	0	0.1165		2004-07
北京市	396	0	2.425		2008-04
四川省	382	0	0.4384		2004-07
安徽省	35	0	0.0588		2011-03
河南省	203	0	0.2095		2004-07
上海市	41	0	0.3064		2004-11
陕西省	16	0	0.0428		2007-11
湖南省	12	0	0.0187		2010-01
新疆	19	0	0.086		2012-09
广西	129	1	0.2657	0.0021	2004-03
湖北省	8	0	0.0138		2015-10
山东省	16	0	0.0167		2011-09
江苏省	479	0	0.6344		2007-06
江西省	143	1	0.3296	0.0023	2007-03
新疆	66	1	0.2871	0.0044	2015-08
重庆市	21	0	0.0735		2010-05
西藏	4	0	0.1379		2010-08
江西省	244	0	0.5586		2008-06
河北省	247	1	0.3345	0.0014	2015-06
黑龙江省	2	0	0.0052		2013-06
青海省	25	0	0.4529		2008-06
湖北省	123	0	0.2115		2016-07
河北省	334	0	0.4842		2007-06
北京市	404	1	2.6296	0.0065	2005-03
河南省	17	0	0.0181		2013-09
海南省	5	0	0.0592		2008-07
海南省	1	0	0.0111		2015-05
贵州省	4	0	0.0115		2013-12
福建省	1	0	0.0027		2012-11
四川省	1666	0	2.0394		2007-01
甘肃省	147	0	0.5593		2009-05
河北省	186	0	0.2736		2004-12
青海省	16	0	0.2742		2016-08
上海市	114	0	0.6281		2007-03
北京市	13	0	0.0767		2009-11
全国	3594	1	0.2765	0.0001	2005-08
上海市	69	0	0.3884		2005-11
建设兵团	1	0	0.0389		2010-06
河南省	28	0	0.0297		2015-10
江苏省	682	0	0.8944		2008-06
广西	87	0	0.1867		2006-06
北京市	30	0	0.2025		2004-04
甘肃省	186	0	0.7107		2008-02
湖北省	12	0	0.0206		2016-09
西藏	21	0	0.7002		2011-08
上海市	129	0	0.6831		2009-05
广西	145	0	0.3073		2014-03
北京市	34	0	0.2082		2008-10
建设兵团	2	0	0.0787		2005-06
上海市	169	1	0.71	0.0042	2013-04
云南省	548	1	1.2585	0.0023	2004-11
福建省	1	0	0.0028		2010-12
四川省	219	0	0.2513		2004-02
甘肃省	245	0	0.9457		2015-04
浙江省	2	0	0.0036		2015-12
四川省	37	0	0.046		2011-12
青海省	80	1	1.3846	0.0173	2014-06
河北省	314	0	0.4583		2006-01
宁夏	7	0	0.1148		2008-11
浙江省	19	0	0.0345		2016-07
吉林省	7	0	0.0256		2008-11
青海省	8	0	0.1449		2008-01
贵州省	3	0	0.0086		2015-10
西藏	189	0	6.8215		2006-05
全国	735	0	0.0546		2012-01
湖北省	31	0	0.0542		2010-02
江西省	26	0	0.0587		2010-05
内蒙古	14	0	0.0589		2005-10
广东省	19	0	0.0182		2011-08
吉林省	1159	0	4.2673		2006-03
安徽省	107	0	0.1775		2014-12
贵州省	395	0	1.0332		2004-08
上海市	9	0	0.0371		2015-10
山西省	24	0	0.0665		2013-07
甘肃省	29	0	0.1113		2007-12
山西省	10	0	0.0278		2012-10
新疆	7	0	0.0348		2006-10
青海省	74	1	1.3278	0.0179	2010-06
山东省	52	0	0.0534		2014-09
黑龙江省	205	0	0.5381		2005-06
河南省	12	0	0.0128		2011-06
宁夏	106	0	1.8152		2004-07
云南省	4	0	0.0085		2016-09
西藏	8	0	0.2638		2012-03
重庆市	13	0	0.0451		2011-06
甘肃省	192	0	0.7345		2004-12
山西省	42	0	0.1259		2005-11
新疆	215	0	0.9855		2011-02
河南省	619	1	0.6613	0.0011	2008-07
北京市	17	0	0.1148		2004-10
陕西省	92	0	0.2515		2004-10
广东省	20	0	0.0186		2015-11
云南省	159	0	0.3602		2005-07
福建省	97	0	0.2549		2016-05
建设兵团	4	0	0.1573		2004-12
青海省	41	0	0.7153		2013-08
江西省	7	0	0.0154		2016-02
河南省	12	0	0.0128		2013-11
浙江省	2139	0	4.389		2005-05
海南省	8	0	0.0966		2006-06
河北省	175	0	0.2488		2010-07
江西省	1	0	0.0022		2012-09
建设兵团	1	0	0.0388		2007-10
广东省	568	0	0.6178		2006-11
建设兵团	2	0	0.0787		2005-10
吉林省	1	0	0.0036		2011-04
内蒙古	2	0	0.0081		2011-12
河北省	1	0	0.0014		2011-09
新疆	72	0	0.3379		2009-04
西藏	29	0	0.9416		2013-05
甘肃省	62	0	0.2401		2014-04
四川省	324	0	0.3957		2005-02
福建省	39	0	0.1033		2014-04
山东省	49	1	0.0512	0.001	2011-06
辽宁省	1	0	0.0024		2004-09
建设兵团	2	0	0.0732		2015-08
广西	19	0	0.0395		2009-02
北京市	193	0	1.0997		2010-07
上海市	142	1	0.7643	0.0054	2008-07
建设兵团	5	0	0.1851		2014-07
广东省	68	0	0.0634		2015-02
浙江省	915	0	1.8083		2008-01
甘肃省	44	0	0.1706		2005-11
全国	4313	1	0.3166	0.0001	2015-06
重庆市	100	0	0.3551		2008-08
广西	7	0	0.0144		2010-04
江苏省	22	0	0.028		2011-01
北京市	573	0	2.7095		2014-03
江苏省	136	0	0.1823		2005-12
陕西省	8	0	0.0213		2014-04
河北省	15	0	0.0206		2013-11
建设兵团	1	0	0.0389		2010-09
广西	4	0	0.0084		2016-04
新疆	38	1	0.172	0.0045	2012-07
天津市	617	0	5.5336		2008-03
河北省	44	0	0.063		2009-09
河北省	801	1	1.0924	0.0014	2014-05
辽宁省	876	0	2.0303		2009-05
江苏省	158	0	0.2072		2008-09
全国	700	3	0.052	0.0002	2012-05
甘肃省	1	0	0.0039		2013-02
四川省	14	0	0.0174		2011-10
上海市	315	0	1.6954		2008-04
湖南省	292	0	0.4616		2006-02
安徽省	42	0	0.069		2016-02
吉林省	118	0	0.4333		2007-05
全国	554	0	0.0411		2012-08
云南省	349	0	0.7732		2008-06
四川省	81	0	0.0997		2008-07
北京市	77	0	0.5006		2006-11
建设兵团	6	0	0.2332		2009-03
四川省	37	0	0.0458		2013-02
辽宁省	5	0	0.0114		2015-08
青海省	419	0	7.1818		2015-05
湖南省	1236	0	1.9538		2006-06
山西省	38	0	0.1133		2006-08
海南省	2	0	0.0242		2006-07
湖南省	5	0	0.0078		2010-12
甘肃省	191	0	0.7268		2009-04
青海省	15	0	0.2717		2008-03
全国	18074	4	1.375	0.0003	2007-05
广东省	161	0	0.152		2013-11
山东省	13	0	0.0138		2009-12
内蒙古	8	0	0.0319		2016-09
贵州省	2	0	0.0053		2009-09
江西省	67	0	0.1523		2009-02
四川省	215	0	0.2626		2005-10
宁夏	60	0	1.0275		2004-11
江苏省	613	0	0.8119		2007-02
安徽省	147	0	0.2417		2016-06
安徽省	87	0	0.135		2004-11
黑龙江省	9	0	0.0235		2015-09
湖南省	4	0	0.0061		2012-02
河南省	6	0	0.0064		2011-09
福建省	140	0	0.3894		2004-07
北京市	20	0	0.0946		2014-10
广东省	69	0	0.0643		2016-03
广东省	18	0	0.0173		2011-06
海南省	1	0	0.0118		2008-09
江苏省	5	0	0.0064		2011-08
河南省	336	0	0.3563		2009-07
山东省	192	0	0.1973		2014-07
四川省	133	1	0.1654	0.0012	2011-01
浙江省	7	0	0.0128		2012-04
全国	2063	2	0.1561	0.0002	2008-09
湖北省	106	0	0.1853		2010-05
浙江省	82	0	0.1497		2013-02
陕西省	2	0	0.0053		2016-10
全国	994	2	0.0733	0.0001	2014-09
西藏	2	0	0.0697		2009-04
云南省	525	1	1.1798	0.0022	2006-08
重庆市	180	0	0.6017		2015-08
海南省	28	0	0.3439		2004-06
黑龙江省	5	0	0.0131		2007-08
黑龙江省	62	0	0.1621		2009-08
甘肃省	267	1	1.0355	0.0039	2005-02
新疆	5	0	0.0235		2009-11
全国	969	0	0.0715		2014-10
广东省	28	0	0.0291		2010-01
重庆市	115	0	0.3844		2016-04
安徽省	160	0	0.263		2016-05
新疆	766	2	3.3327	0.0087	2016-02
辽宁省	9	0	0.0205		2012-07
河南省	123	0	0.1297		2010-09
江西省	9	0	0.0203		2010-09
河北省	153	0	0.2247		2005-12
四川省	55	0	0.0672		2010-05
安徽省	993	0	1.6326		2005-03
江西省	26	0	0.0587		2010-04
北京市	79	0	0.5136		2006-12
河北省	1205	0	1.6433		2014-04
山东省	95	0	0.0981		2013-06
河南省	22	0	0.0232		2010-12
贵州省	5	0	0.0144		2013-05
西藏	1	0	0.033		2012-11
陕西省	59	0	0.1563		2016-03
宁夏	4	0	0.0605		2016-02
宁夏	277	0	4.7435		2004-05
黑龙江省	115	1	0.3008	0.0026	2007-05
西藏	1	0	0.0348		2009-02
全国	11076	6	0.8521	0.0005	2004-04
河北省	912	1	1.2438	0.0014	2014-02
吉林省	7	0	0.0257		2007-11
广东省	59	0	0.0566		2011-03
湖南省	177	1	0.2798	0.0016	2006-11
湖北省	10	0	0.0174		2012-09
湖北省	670	0	1.177		2005-03
西藏	44	0	1.5881		2006-06
河南省	920	0	0.9808		2006-06
云南省	49	0	0.1039		2015-03
全国	2185	2	0.1629	0.0001	2011-04
河北省	199	0	0.2905		2006-11
福建省	47	0	0.1338		2005-02
青海省	40	0	0.6856		2016-07
河南省	195	0	0.209		2005-11
黑龙江省	8	0	0.0209		2013-03
吉林省	2	0	0.0073		2015-09
河北省	9	0	0.0122		2016-10
甘肃省	21	0	0.0813		2014-03
江苏省	412	0	0.5524		2005-02
天津市	383	0	3.435		2008-05
浙江省	5478	3	11.2403	0.0062	2005-04
内蒙古	8	0	0.0321		2013-08
青海省	17	0	0.3131		2006-07
湖北省	188	0	0.3302		2007-11
河北省	1089	0	1.5582		2009-04
内蒙古	109	0	0.4352		2015-03
云南省	5	0	0.011		2009-08
辽宁省	22	0	0.0522		2005-10
河北省	6	0	0.0081		2016-09
江西省	303	0	0.6886		2009-04
北京市	57	0	0.3248		2010-01
青海省	37	0	0.6675		2009-12
四川省	417	0	0.4785		2004-06
上海市	5	0	0.0275		2007-11
宁夏	252	0	4.3154		2004-06
湖南省	7	0	0.0109		2010-11
黑龙江省	25	0	0.0652		2016-07
天津市	3	0	0.0323		2004-11
河南省	689	2	0.7307	0.0021	2009-06
内蒙古	329	0	1.3852		2005-06
甘肃省	71	0	0.2702		2009-02
江西省	2	0	0.0044		2014-01
青海省	49	0	0.8399		2015-07
河北省	282	0	0.4141		2005-02
甘肃省	91	0	0.3508		2006-07
湖南省	37	0	0.0553		2014-02
江西省	47	0	0.1076		2008-02
江苏省	17	0	0.0214		2014-03
江苏省	2	0	0.0025		2011-11
黑龙江省	16	0	0.0418		2009-09
西藏	69	0	2.6421		2004-01
广西	75	0	0.1545		2004-01
云南省	1024	0	2.2842		2007-04
全国	2843	3	0.2087	0.0002	2015-07
福建省	29	0	0.0807		2004-11
湖南省	197	0	0.2949		2004-08
山西省	24	0	0.0661		2014-12
天津市	8	0	0.0767		2006-12
四川省	1457	0	1.7836		2007-02
全国	640	1	0.047	0.0001	2016-08
浙江省	6	0	0.011		2012-06
西藏	6	0	0.2135		2007-12
浙江省	117	0	0.2389		2006-08
广西	32	0	0.0683		2013-10
宁夏	26	0	0.3974		2014-06
北京市	67	0	0.3953		2009-06
浙江省	172	0	0.3359		2009-02
江西省	215	0	0.5026		2005-07
湖南省	37	0	0.0549		2016-11
广东省	28	0	0.0291		2010-10
北京市	8	0	0.0396		2012-08
河北省	153	0	0.2233		2006-08
天津市	4	0	0.0264		2015-10
江西省	51	0	0.1183		2006-09
青海省	14	0	0.2603		2005-09
云南省	406	0	0.9324		2004-06
天津市	11	0	0.1055		2006-08
山东省	448	0	0.4757		2009-03
浙江省	850	0	1.7068		2007-05
云南省	147	0	0.3155		2013-05
吉林省	34	0	0.1235		2015-06
湖南省	101	0	0.1499		2015-01
山西省	25	0	0.0689		2014-01
浙江省	407	0	0.866		2004-09
湖北省	20	0	0.0347		2012-08
广西	56	0	0.1187		2007-08
黑龙江省	10	0	0.0262		2007-12
陕西省	4	0	0.0107		2013-09
贵州省	795	0	2.0795		2004-10
浙江省	328	0	0.5955		2015-04
辽宁省	30	0	0.0721		2004-06
内蒙古	919	0	3.8694		2005-04
上海市	33	0	0.136		2016-08
天津市	41	0	0.3931		2006-07
内蒙古	7	0	0.0289		2010-10
江西省	21	0	0.0477		2009-09
海南省	1	0	0.0112		2014-03
西藏	3	0	0.1045		2009-11
青海省	26	0	0.4536		2013-12
西藏	7	0	0.2243		2014-05
重庆市	7	0	0.0234		2016-08
山西省	78	0	0.2299		2008-08
全国	445	0	0.0329		2013-11
山东省	653	0	0.7061		2006-03
四川省	28	0	0.0347		2013-07
山东省	103	0	0.1064		2013-08
江西省	109	0	0.2512		2007-08
福建省	1	0	0.0028		2010-03
河北省	17	0	0.0233		2013-07
西藏	1	0	0.0356		2007-06
宁夏	206	0	3.4943		2005-01
全国	4188	5	0.3093	0.0004	2013-03
山东省	44	0	0.0473		2007-01
广东省	28	0	0.0261		2015-10
广西	3	0	0.0063		2016-08
北京市	94	0	0.4543		2013-04
贵州省	40	0	0.1063		2008-03
湖南省	21	0	0.0312		2015-12
湖北省	102	0	0.1786		2006-10
山东省	100	0	0.1088		2005-08
内蒙古	25	0	0.1012		2011-04
广西	17	0	0.0368		2005-09
广西	1	0	0.0021		2013-01
吉林省	30	0	0.109		2016-04
黑龙江省	10	0	0.0261		2011-05
西藏	28	0	0.8818		2016-04
广西	15	0	0.0311		2009-04
江苏省	7	0	0.0089		2012-07
安徽省	31	0	0.0519		2012-04
宁夏	2	0	0.033		2009-12
辽宁省	8	0	0.0185		2009-09
吉林省	213	0	0.7863		2005-12
海南省	70	0	0.853		2005-06
吉林省	1	0	0.0036		2013-12
海南省	99	0	1.1957		2006-02
黑龙江省	1	0	0.0026		2014-09
西藏	5	0	0.1602		2014-01
辽宁省	48	0	0.1112		2009-08
海南省	10	0	0.1183		2008-06
建设兵团	50	0	1.8296		2016-05
重庆市	9	0	0.0308		2012-04
贵州省	2	0	0.0057		2016-11
广东省	3201	2	3.3877	0.0021	2008-05
陕西省	58	0	0.1538		2010-04
建设兵团	12	0	0.4643		2008-07
广东省	116	0	0.1215		2009-07
山西省	93	0	0.2549		2015-04
山东省	224	1	0.2365	0.0011	2010-02
江西省	1	0	0.0022		2013-11
黑龙江省	59	0	0.1542		2009-03
湖北省	39	0	0.0675		2013-05
湖北省	242	0	0.4246		2008-02
新疆	32	0	0.1482		2010-09
浙江省	148	0	0.2925		2008-09
山东省	359	2	0.3812	0.0021	2009-01
北京市	392	0	1.8536		2014-05
湖北省	21	0	0.0367		2011-06
黑龙江省	225	1	0.5882	0.0026	2009-06
甘肃省	19	0	0.0732		2006-10
重庆市	13	0	0.0415		2004-09
北京市	2	0	0.0099		2012-01
浙江省	164	0	0.349		2004-02
建设兵团	1	0	0.037		2014-01
北京市	356	0	1.6546		2016-04
湖北省	183	0	0.3156		2014-04
山东省	233	0	0.2534		2005-12
吉林省	2	0	0.0073		2016-09
湖南省	649	0	0.9717		2004-06
山东省	2	0	0.0021		2012-06
陕西省	25	0	0.0662		2015-01
湖南省	151	0	0.2381		2007-11
全国	286	0	0.0213		2011-12
内蒙古	44	0	0.1823		2009-07
广东省	143	0	0.1498		2009-06
广东省	1310	0	1.2307		2014-07
西藏	4	0	0.1319		2012-04
建设兵团	169	0	6.5384		2008-01
新疆	28	0	0.1337		2008-09
江苏省	99	0	0.1311		2007-09
吉林省	10	0	0.0363		2014-01
辽宁省	73	0	0.1698		2008-03
天津市	59	0	0.5665		2005-08
浙江省	42	0	0.0772		2011-08
新疆	57	0	0.2675		2009-06
河南省	54	0	0.0572		2015-12
天津市	0	0			2012-12
吉林省	3	0	0.0109		2012-05
贵州省	758	2	1.9828	0.0052	2004-11
四川省	389	0	0.4464		2004-05
新疆	535	0	2.4523		2011-04
福建省	3	0	0.0084		2008-12
北京市	210	2	1.3283	0.0127	2007-01
宁夏	6	0	0.0984		2008-02
四川省	61	0	0.0752		2014-08
浙江省	162	0	0.3324		2005-08
江西省	88	0	0.2041		2006-10
上海市	19	0	0.0825		2011-05
贵州省	30	0	0.0792		2009-03
河北省	567	0	0.8327		2005-06
广西	7	0	0.0152		2011-05
山西省	58	0	0.175		2004-02
广西	28	0	0.0598		2013-11
上海市	127	0	0.5335		2013-03
贵州省	5	0	0.0132		2009-11
湖北省	14	0	0.0245		2010-01
湖南省	31	0	0.046		2016-03
湖北省	53	0	0.0914		2014-12
建设兵团	9	0	0.3502		2006-06
上海市	22	0	0.0907		2016-03
黑龙江省	5	0	0.0133		2004-05
浙江省	6	0	0.0109		2016-10
青海省	12	0	0.2224		2004-01
内蒙古	206	1	0.8248	0.004	2014-06
宁夏	1	0	0.0151		2016-11
上海市	3	0	0.0159		2009-11
广东省	265	0	0.249		2014-01
江西省	1	0	0.0022		2013-01
辽宁省	6	0	0.0142		2005-01
广西	2	0	0.0041		2010-03
黑龙江省	3	0	0.0078		2014-01
重庆市	4	0	0.0139		2011-03
四川省	265	0	0.3244		2007-09
甘肃省	86	0	0.3335		2005-12
全国	4168	3	0.3171	0.0002	2007-11
山东省	222	1	0.2385	0.0011	2007-11
山西省	1345	2	4.0331	0.006	2005-04
山东省	12	0	0.0131		2004-10
天津市	2	0	0.0163		2010-12
北京市	15	0	0.0743		2012-03
西藏	1	0	0.0352		2008-09
陕西省	3	0	0.008		2012-07
江西省	2	0	0.0045		2011-03
贵州省	3	0	0.0081		2005-10
天津市	16	0	0.1536		2005-12
新疆	9	0	0.0453		2005-09
湖北省	8	0	0.0138		2013-12
福建省	91	0	0.2558		2007-01
广西	2	0	0.0041		2010-02
辽宁省	2	0	0.0048		2004-02
安徽省	12	0	0.0196		2010-11
西藏	4	0	0.1394		2009-09
吉林省	5	0	0.0188		2004-07
湖北省	6	0	0.0103		2016-10
湖北省	54	0	0.0946		2006-01
湖北省	124	0	0.2178		2007-08
湖南省	7	0	0.0106		2012-03
江苏省	1155	0	1.451		2015-05
山西省	10	0	0.0278		2012-07
福建省	16	0	0.0434		2011-03
重庆市	13	0	0.0441		2013-02
浙江省	1388	1	2.7431	0.002	2008-02
山西省	9	0	0.0247		2016-01
广东省	76	0	0.0789		2010-06
上海市	28	0	0.2093		2004-06
黑龙江省	3	0	0.0078		2014-10
全国	10449	2	0.8038	0.0002	2004-05
湖北省	404	0	0.7089		2008-12
贵州省	20	0	0.057		2015-04
上海市	7	0	0.0364		2010-02
云南省	11	0	0.0233		2016-07
重庆市	67	0	0.224		2015-11
江西省	531	0	1.2396		2004-04
建设兵团	1	0	0.0383		2012-06
内蒙古	54	0	0.2253		2007-12
辽宁省	164	0	0.3801		2009-01
安徽省	176	0	0.2919		2014-04
宁夏	27	0	0.4624		2004-08
河南省	256	0	0.2641		2004-03
辽宁省	12	0	0.0273		2015-02
广东省	71	0	0.0737		2010-07
内蒙古	40	0	0.1651		2010-03
湖南省	6	0	0.0091		2012-01
江苏省	63	0	0.0791		2016-02
河南省	33	0	0.0351		2011-04
全国	944	0	0.0704		2011-02
建设兵团	5	1	0.1946	0.0389	2006-07
吉林省	10	0	0.0366		2008-12
陕西省	188	0	0.5139		2004-11
吉林省	4	0	0.0148		2005-01
云南省	241	0	0.5376		2007-11
上海市	22	0	0.0911		2014-07
宁夏	7	0	0.112		2010-03
青海省	46	0	0.8299		2009-06
江苏省	9	0	0.0113		2014-08
河南省	1367	1	1.465	0.0011	2005-03
北京市	6	0	0.0354		2009-10
四川省	178	0	0.2187		2016-12
重庆市	35	0	0.1188		2013-04
四川省	222	0	0.2732		2008-05
安徽省	74	0	0.121		2008-09
辽宁省	39	0	0.0924		2006-08
福建省	11	0	0.0298		2011-06
广东省	250	0	0.2619		2009-05
上海市	20	0	0.0828		2014-10
辽宁省	47	0	0.1094		2008-07
山西省	3	0	0.0083		2012-09
建设兵团	1	0	0.0389		2009-12
全国	8702	4	0.6421	0.0003	2014-03
建设兵团	8	0	0.3101		2007-07
云南省	305	0	0.7004		2004-05
黑龙江省	111	1	0.2894	0.0026	2014-03
江苏省	36	0	0.0466		2010-09
山东省	17	0	0.0174		2016-09
全国	2711	1	0.2086	0.0001	2004-01
浙江省	365	1	0.7329	0.002	2007-12
四川省	24	0	0.0296		2014-03
山西省	8	0	0.0223		2012-01
广东省	231	0	0.2199		2012-06
吉林省	28	0	0.1026		2008-01
云南省	16	0	0.035		2010-04
黑龙江省	6	0	0.0157		2011-10
甘肃省	74	0	0.287		2005-07
内蒙古	183	0	0.7306		2015-05
陕西省	2	0	0.0053		2012-02
云南省	125	0	0.2667		2014-12
四川省	337	0	0.4104		2006-08
黑龙江省	1	0	0.0027		2004-11
重庆市	45	0	0.1515		2014-03
贵州省	107	1	0.2848	0.0027	2007-01
云南省	115	0	0.2605		2005-09
青海省	5	0	0.0857		2016-11
广东省	57	0	0.0597		2009-09
云南省	349	0	0.7732		2008-05
青海省	306	0	5.6888		2005-06
西藏	4	0	0.1319		2012-01
内蒙古	50	0	0.2097		2004-07
山东省	652	0	0.666		2015-03
湖北省	29	0	0.0507		2011-11
四川省	20	0	0.0244		2009-01
青海省	8	0	0.1449		2008-02
浙江省	5	0	0.0092		2012-02
北京市	2	0	0.0102		2011-02
重庆市	59	0	0.2109		2006-02
河南省	2	0	0.0021		2011-11
海南省	1	0	0.012		2007-12
新疆	10	0	0.0442		2014-12
青海省	32	0	0.5797		2008-05
天津市	354	0	3.394		2006-04
